E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
17430158.87,0.32,-18.98,-8.20,-12.37,306.90,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,216.90,0.28,0.96,-15.09,-12.09,5.18,10133.18,8113.80,8301.40,-3477.57
18547731.05,0.23,-17.96,-7.48,-12.80,310.55,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,220.55,0.15,0.99,-13.53,-11.91,5.18,9081.81,7994.04,8589.79,-3475.57
21148573.01,0.27,-17.25,-8.05,-12.92,318.11,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,228.11,-0.11,0.99,-12.15,-13.15,4.57,8156.48,8825.01,8671.29,-3068.63
15242584.84,0.31,-16.44,-7.54,-11.98,307.23,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,217.23,0.27,0.96,-13.18,-10.80,4.29,8850.12,7248.94,8043.84,-2877.41
18738525.02,0.32,-18.81,-7.85,-13.77,301.53,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,211.53,0.45,0.89,-15.81,-10.85,4.88,10616.51,7283.76,9243.42,-3278.06
23836991.87,0.37,-16.44,-7.54,-13.59,301.08,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,211.08,0.47,0.88,-14.07,-9.91,3.94,9445.53,6652.60,9121.45,-2643.77
23925181.96,0.26,-16.68,-7.22,-12.08,314.62,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,224.62,0.01,1.00,-12.01,-11.89,4.73,8063.55,7979.82,8109.76,-3173.27
15628250.24,0.37,-17.16,-7.82,-11.89,301.33,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,211.33,0.46,0.89,-14.63,-10.34,4.15,9822.48,6942.84,7982.94,-2784.73
15093352.92,0.30,-17.30,-7.98,-13.27,306.21,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,216.21,0.30,0.95,-14.04,-11.23,4.44,9428.62,7539.46,8905.93,-2983.00
20794901.10,0.26,-18.05,-7.65,-12.67,308.41,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,218.41,0.23,0.97,-14.04,-11.66,5.06,9424.09,7830.87,8508.70,-3399.62
15552823.77,0.37,-19.42,-8.78,-12.52,314.18,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,224.18,0.03,1.00,-14.25,-13.95,5.31,9569.20,9364.57,8407.34,-3568.08
21882008.86,0.24,-16.32,-7.61,-11.79,319.74,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,229.74,-0.16,0.99,-11.25,-12.68,4.29,7550.03,8511.81,7915.98,-2882.64
18878566.51,0.22,-19.33,-7.60,-13.73,313.14,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,223.14,0.06,1.00,-13.85,-13.09,5.85,9296.35,8786.58,9217.38,-3928.34
22309198.74,0.39,-16.53,-8.76,-13.52,311.48,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,221.48,0.12,0.99,-13.12,-12.17,3.85,8810.03,8170.99,9074.29,-2587.23
19062666.50,0.23,-17.71,-8.53,-11.54,302.58,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,212.58,0.42,0.91,-15.05,-11.19,4.16,10103.41,7515.05,7750.43,-2794.93
15861656.22,0.23,-19.15,-8.63,-11.93,306.74,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,216.74,0.28,0.96,-15.39,-12.39,5.04,10329.86,8320.91,8007.99,-3384.56
23135438.35,0.37,-19.73,-8.74,-11.60,313.01,data_properties/JD_BASECASE_29_PORO.dat,data_properties/JD_BASECASE_29_PERMX.dat,223.01,0.07,1.00,-14.61,-13.85,5.48,9810.73,9299.51,7789.76,-3678.77
24690412.80,0.29,-19.59,-7.25,-13.92,308.19,data_properties/JD_BASECASE_30_PORO.dat,data_properties/JD_BASECASE_30_PERMX.dat,218.19,0.24,0.97,-14.88,-11.97,5.99,9986.45,8035.10,9347.47,-4024.35
15333466.39,0.34,-17.09,-8.24,-12.17,318.47,data_properties/JD_BASECASE_34_PORO.dat,data_properties/JD_BASECASE_34_PERMX.dat,228.47,-0.12,0.99,-12.13,-13.20,4.39,8142.16,8860.91,8167.13,-2949.62
18262626.51,0.23,-17.06,-8.45,-12.60,319.95,data_properties/JD_BASECASE_37_PORO.dat,data_properties/JD_BASECASE_37_PERMX.dat,229.95,-0.17,0.99,-12.01,-13.49,4.24,8064.48,9058.45,8461.75,-2848.44
23662373.45,0.28,-18.26,-8.62,-11.47,303.19,data_properties/JD_BASECASE_41_PORO.dat,data_properties/JD_BASECASE_41_PERMX.dat,213.19,0.40,0.92,-15.37,-11.51,4.42,10319.40,7724.74,7698.46,-2966.74
21738659.32,0.33,-18.45,-8.56,-13.26,318.42,data_properties/JD_BASECASE_42_PORO.dat,data_properties/JD_BASECASE_42_PERMX.dat,228.42,-0.12,0.99,-12.92,-14.09,4.91,8671.23,9462.04,8903.24,-3297.63
20434870.68,0.32,-18.60,-8.34,-12.01,309.32,data_properties/JD_BASECASE_43_PORO.dat,data_properties/JD_BASECASE_43_PERMX.dat,219.32,0.20,0.98,-14.48,-12.46,5.03,9719.80,8362.40,8065.56,-3377.24
20132622.06,0.28,-18.93,-7.33,-13.69,311.60,data_properties/JD_BASECASE_44_PORO.dat,data_properties/JD_BASECASE_44_PERMX.dat,221.60,0.12,0.99,-13.82,-12.44,5.76,9274.93,8353.31,9190.02,-3864.03
20031262.86,0.37,-17.63,-8.77,-13.43,309.72,data_properties/JD_BASECASE_45_PORO.dat,data_properties/JD_BASECASE_45_PERMX.dat,219.72,0.18,0.98,-14.01,-12.39,4.36,9406.36,8316.64,9014.59,-2924.10
19651344.95,0.36,-18.38,-7.49,-13.87,300.53,data_properties/JD_BASECASE_46_PORO.dat,data_properties/JD_BASECASE_46_PERMX.dat,210.53,0.48,0.88,-15.57,-10.30,4.77,10452.12,6914.95,9314.25,-3199.24
19973353.59,0.35,-16.93,-8.69,-13.89,303.38,data_properties/JD_BASECASE_47_PORO.dat,data_properties/JD_BASECASE_47_PERMX.dat,213.38,0.39,0.92,-14.44,-11.18,3.79,9693.09,7508.48,9327.22,-2543.15
19731654.39,0.39,-19.07,-7.67,-12.96,305.78,data_properties/JD_BASECASE_50_PORO.dat,data_properties/JD_BASECASE_50_PERMX.dat,215.78,0.32,0.95,-15.17,-11.57,5.41,10184.83,7765.58,8701.36,-3628.80
22211549.40,0.28,-17.02,-7.40,-11.66,300.04,data_properties/JD_BASECASE_52_PORO.dat,data_properties/JD_BASECASE_52_PERMX.dat,210.04,0.50,0.87,-14.61,-9.81,4.17,9807.54,6585.15,7827.87,-2800.73
21024020.62,0.24,-18.80,-8.16,-13.56,312.08,data_properties/JD_BASECASE_56_PORO.dat,data_properties/JD_BASECASE_56_PERMX.dat,222.08,0.10,0.99,-14.02,-12.93,5.29,9410.38,8683.27,9100.02,-3553.09
21517768.63,0.36,-19.22,-7.58,-11.74,308.51,data_properties/JD_BASECASE_59_PORO.dat,data_properties/JD_BASECASE_59_PERMX.dat,218.51,0.22,0.97,-14.70,-12.09,5.67,9870.14,8115.91,7879.44,-3807.22
18917257.92,0.25,-16.75,-7.83,-13.37,317.10,data_properties/JD_BASECASE_62_PORO.dat,data_properties/JD_BASECASE_62_PERMX.dat,227.10,-0.07,1.00,-11.96,-12.62,4.45,8032.19,8470.24,8972.45,-2986.52
22604992.37,0.26,-16.35,-8.35,-13.05,308.92,data_properties/JD_BASECASE_63_PORO.dat,data_properties/JD_BASECASE_63_PERMX.dat,218.92,0.21,0.98,-13.19,-11.51,3.91,8856.90,7725.28,8762.72,-2623.74
21321299.74,0.33,-18.29,-7.88,-13.96,316.12,data_properties/JD_BASECASE_67_PORO.dat,data_properties/JD_BASECASE_67_PERMX.dat,226.12,-0.04,1.00,-12.88,-13.29,5.20,8648.29,8921.92,9371.34,-3494.20
