E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
22541269.98,0.38,-19.78,-5.85,-11.46,317.13,15472878.07,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,227.13,-0.07,1.00,-12.30,-13.33,6.95,8257.72,8951.61,7695.11,-4664.19
21207802.89,0.31,-17.02,-6.23,-11.98,311.41,18031818.80,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,221.41,0.13,0.99,-12.30,-10.95,5.35,8259.28,7353.14,8043.04,-3594.75
24206892.44,0.33,-16.67,-6.72,-12.19,307.66,17250281.40,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,217.66,0.25,0.97,-12.96,-10.43,4.81,8697.82,7005.31,8181.45,-3228.39
20421721.17,0.23,-19.22,-6.85,-13.34,307.06,15407511.59,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,217.06,0.27,0.96,-14.73,-11.34,5.95,9887.32,7615.15,8953.99,-3992.92
24459185.16,0.32,-18.02,-6.52,-13.07,303.58,18592160.04,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,213.58,0.39,0.92,-14.50,-10.04,5.30,9734.88,6737.76,8773.84,-3557.52
18872478.74,0.21,-19.45,-6.25,-13.86,309.33,18525320.05,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,219.33,0.20,0.98,-14.15,-11.55,6.47,9498.55,7755.52,9306.88,-4342.57
20850472.46,0.38,-18.16,-6.19,-12.03,316.66,17130292.77,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,226.66,-0.06,1.00,-11.83,-12.52,5.97,7940.04,8406.00,8077.67,-4009.15
23000396.01,0.39,-18.51,-6.96,-12.87,312.92,16623447.89,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,222.92,0.07,1.00,-13.15,-12.32,5.76,8830.36,8268.99,8640.28,-3864.98
23187921.14,0.35,-19.68,-6.63,-13.10,307.15,15910877.92,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,217.15,0.27,0.96,-14.92,-11.39,6.28,10019.37,7647.54,8791.68,-4217.25
21985866.34,0.21,-18.81,-6.80,-13.82,311.58,18343155.09,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,221.58,0.12,0.99,-13.52,-12.09,5.96,9077.19,8117.09,9276.21,-4000.52
19354984.89,0.35,-19.60,-6.46,-13.44,313.84,17797123.99,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,223.84,0.04,1.00,-13.30,-12.76,6.57,8926.60,8568.83,9024.12,-4409.33
22349675.56,0.34,-16.33,-7.11,-12.59,301.79,16519542.72,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,211.79,0.44,0.90,-13.77,-9.67,4.13,9246.35,6491.77,8449.76,-2772.33
24395999.83,0.23,-19.11,-7.04,-13.49,305.24,15504030.19,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,215.24,0.33,0.94,-15.09,-11.06,5.69,10129.82,7422.17,9057.74,-3820.35
15572752.78,0.33,-17.94,-6.93,-13.20,309.83,17818475.56,data_properties/JD_BASECASE_26_PORO.dat,data_properties/JD_BASECASE_26_PERMX.dat,219.83,0.18,0.98,-13.42,-11.45,5.42,9012.14,7684.15,8861.17,-3636.72
15205584.98,0.26,-17.57,-6.29,-13.94,301.58,15786585.77,data_properties/JD_BASECASE_27_PORO.dat,data_properties/JD_BASECASE_27_PERMX.dat,211.58,0.45,0.89,-14.47,-9.38,5.03,9716.56,6298.46,9355.56,-3377.18
18996065.76,0.36,-19.53,-6.02,-11.72,302.17,16707644.71,data_properties/JD_BASECASE_28_PORO.dat,data_properties/JD_BASECASE_28_PERMX.dat,212.17,0.43,0.90,-15.70,-9.85,6.09,10539.30,6613.21,7865.56,-4085.44
23548790.37,0.25,-19.75,-6.70,-13.14,311.32,15339238.92,data_properties/JD_BASECASE_29_PORO.dat,data_properties/JD_BASECASE_29_PERMX.dat,221.32,0.13,0.99,-14.06,-12.39,6.47,9439.80,8317.02,8819.60,-4341.27
16752037.42,0.28,-19.28,-6.18,-13.25,310.15,17187528.52,data_properties/JD_BASECASE_30_PORO.dat,data_properties/JD_BASECASE_30_PERMX.dat,220.15,0.17,0.99,-13.83,-11.63,6.46,9287.62,7804.86,8898.01,-4337.30
