E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
17430158.87,0.32,-19.50,-6.66,-12.37,319.58,data_properties/JD_BASECASE_5_PORO.dat,data_properties/JD_BASECASE_5_PERMX.dat,229.58,-0.16,0.99,-12.06,-14.10,6.34,8095.42,9466.45,8301.40,-4255.45
18547731.05,0.23,-18.24,-6.08,-12.80,319.32,data_properties/JD_BASECASE_6_PORO.dat,data_properties/JD_BASECASE_6_PERMX.dat,229.32,-0.15,0.99,-11.24,-13.07,6.01,7548.63,8774.85,8589.79,-4036.65
21148573.01,0.27,-19.59,-6.54,-12.92,319.22,data_properties/JD_BASECASE_7_PORO.dat,data_properties/JD_BASECASE_7_PERMX.dat,229.22,-0.15,0.99,-12.11,-14.02,6.45,8127.92,9412.98,8671.29,-4332.35
15242584.84,0.31,-17.70,-6.13,-11.98,319.84,data_properties/JD_BASECASE_8_PORO.dat,data_properties/JD_BASECASE_8_PERMX.dat,229.84,-0.17,0.99,-10.94,-12.89,5.71,7345.30,8653.36,8043.84,-3830.35
18738525.02,0.32,-19.64,-6.38,-13.77,319.30,data_properties/JD_BASECASE_9_PORO.dat,data_properties/JD_BASECASE_9_PERMX.dat,229.30,-0.15,0.99,-12.02,-14.00,6.55,8068.97,9400.71,9243.42,-4400.56
23836991.87,0.37,-19.17,-6.12,-13.59,319.44,data_properties/JD_BASECASE_11_PORO.dat,data_properties/JD_BASECASE_11_PERMX.dat,229.44,-0.15,0.99,-11.64,-13.65,6.45,7814.88,9166.64,9121.45,-4327.76
23925181.96,0.26,-19.09,-5.87,-12.08,319.09,data_properties/JD_BASECASE_12_PORO.dat,data_properties/JD_BASECASE_12_PERMX.dat,229.09,-0.14,0.99,-11.54,-13.42,6.54,7745.22,9008.48,8109.76,-4392.55
15628250.24,0.37,-17.60,-6.35,-11.89,319.30,data_properties/JD_BASECASE_13_PORO.dat,data_properties/JD_BASECASE_13_PERMX.dat,229.30,-0.15,0.99,-11.13,-12.81,5.56,7473.83,8602.97,7982.94,-3732.16
15093352.92,0.30,-18.97,-6.48,-13.27,312.31,data_properties/JD_BASECASE_15_PORO.dat,data_properties/JD_BASECASE_15_PERMX.dat,222.31,0.09,1.00,-13.31,-12.14,6.21,8933.99,8149.08,8905.93,-4172.13
20794901.10,0.26,-19.24,-6.22,-12.67,319.09,data_properties/JD_BASECASE_20_PORO.dat,data_properties/JD_BASECASE_20_PERMX.dat,229.09,-0.14,0.99,-11.80,-13.65,6.45,7922.89,9165.55,8508.70,-4327.02
15552823.77,0.37,-19.41,-7.14,-12.52,319.34,data_properties/JD_BASECASE_21_PORO.dat,data_properties/JD_BASECASE_21_PERMX.dat,229.34,-0.15,0.99,-12.35,-14.20,6.06,8287.79,9531.86,8407.34,-4070.99
21882008.86,0.24,-19.69,-6.18,-11.79,319.71,data_properties/JD_BASECASE_22_PORO.dat,data_properties/JD_BASECASE_22_PERMX.dat,229.71,-0.16,0.99,-11.83,-14.04,6.66,7941.31,9424.74,7915.98,-4471.32
18878566.51,0.22,-18.93,-6.18,-13.73,313.23,data_properties/JD_BASECASE_25_PORO.dat,data_properties/JD_BASECASE_25_PERMX.dat,223.23,0.06,1.00,-12.95,-12.16,6.36,8692.92,8162.95,9217.38,-4272.03
