E_GPa,PR,SH_MPa/km,Sh_MPa/km,Sv_MPa/km,SH_azi_deg,A_m2,PORO_file,PERMX_file,beta,cos_2beta,sin_2beta,sigma_x_grad,sigma_y_grad,tau_xy_grad,sigma_x_ref,sigma_y_ref,sigma_z_ref,tau_xy_ref
21265330.31,0.32,-19.49,-6.58,-12.54,319.29,17439526.51,data_properties/JD_BASECASE_206_PORO.dat,data_properties/JD_BASECASE_206_PERMX.dat,229.29,-0.15,0.99,-12.07,-14.00,6.39,8103.57,9398.01,8417.54,-4288.12
22146286.50,0.23,-19.45,-6.46,-12.58,319.96,15905078.49,data_properties/JD_BASECASE_207_PORO.dat,data_properties/JD_BASECASE_207_PERMX.dat,229.96,-0.17,0.99,-11.84,-14.07,6.40,7946.93,9448.73,8442.63,-4295.92
15318901.72,0.26,-19.01,-7.04,-13.04,319.41,16474923.98,data_properties/JD_BASECASE_208_PORO.dat,data_properties/JD_BASECASE_208_PERMX.dat,229.41,-0.15,0.99,-12.11,-13.94,5.92,8127.69,9359.25,8752.45,-3972.18
22907824.85,0.32,-16.70,-6.53,-11.58,319.95,18227935.45,data_properties/JD_BASECASE_209_PORO.dat,data_properties/JD_BASECASE_209_PERMX.dat,229.95,-0.17,0.99,-10.74,-12.49,5.01,7209.84,8383.75,7777.29,-3365.46
21369370.56,0.27,-19.22,-6.97,-12.05,319.86,17252314.21,data_properties/JD_BASECASE_216_PORO.dat,data_properties/JD_BASECASE_216_PERMX.dat,229.86,-0.17,0.99,-12.06,-14.13,6.04,8095.52,9483.01,8089.74,-4052.43
17745231.47,0.25,-19.33,-6.98,-11.79,316.39,16699156.34,data_properties/JD_BASECASE_217_PORO.dat,data_properties/JD_BASECASE_217_PERMX.dat,226.39,-0.05,1.00,-12.85,-13.45,6.17,8627.94,9029.14,7917.57,-4140.70
23620957.25,0.21,-19.24,-6.86,-12.08,319.69,15515961.71,data_properties/JD_BASECASE_218_PORO.dat,data_properties/JD_BASECASE_218_PERMX.dat,229.69,-0.16,0.99,-12.04,-14.06,6.11,8082.68,9437.34,8107.04,-4101.27
17400214.16,0.38,-19.10,-6.56,-13.00,319.00,18454220.45,data_properties/JD_BASECASE_219_PORO.dat,data_properties/JD_BASECASE_219_PERMX.dat,229.00,-0.14,0.99,-11.96,-13.70,6.21,8026.75,9199.34,8724.84,-4168.23
18111015.06,0.32,-19.10,-6.59,-13.59,317.89,17700450.02,data_properties/JD_BASECASE_221_PORO.dat,data_properties/JD_BASECASE_221_PERMX.dat,227.89,-0.10,0.99,-12.22,-13.48,6.23,8201.36,9047.79,9123.79,-4179.38
23433733.32,0.27,-19.03,-6.64,-12.49,319.90,16666503.86,data_properties/JD_BASECASE_223_PORO.dat,data_properties/JD_BASECASE_223_PERMX.dat,229.90,-0.17,0.99,-11.78,-13.89,6.10,7908.70,9324.21,8387.41,-4097.38
24950065.08,0.25,-19.56,-6.17,-11.50,319.92,17480441.28,data_properties/JD_BASECASE_224_PORO.dat,data_properties/JD_BASECASE_224_PERMX.dat,229.92,-0.17,0.99,-11.72,-14.01,6.59,7867.81,9403.56,7720.54,-4427.19
19682937.88,0.33,-19.01,-6.41,-12.24,319.01,16054641.02,data_properties/JD_BASECASE_225_PORO.dat,data_properties/JD_BASECASE_225_PERMX.dat,229.01,-0.14,0.99,-11.83,-13.59,6.24,7944.53,9123.28,8214.13,-4187.38
22644233.52,0.28,-17.60,-6.73,-13.96,308.47,17585366.81,data_properties/JD_BASECASE_226_PORO.dat,data_properties/JD_BASECASE_226_PERMX.dat,218.47,0.23,0.97,-13.39,-10.94,5.30,8992.30,7342.11,9370.27,-3555.15
19328103.36,0.37,-16.50,-5.88,-12.19,319.64,18185273.57,data_properties/JD_BASECASE_227_PORO.dat,data_properties/JD_BASECASE_227_PERMX.dat,229.64,-0.16,0.99,-10.34,-12.05,5.24,6939.76,8090.19,8180.89,-3518.09
18399856.88,0.37,-19.19,-7.08,-13.71,319.39,18509826.17,data_properties/JD_BASECASE_229_PORO.dat,data_properties/JD_BASECASE_229_PERMX.dat,229.39,-0.15,0.99,-12.21,-14.06,5.98,8196.92,9436.47,9205.42,-4017.22
24482826.51,0.34,-19.25,-6.87,-11.77,319.60,16724444.21,data_properties/JD_BASECASE_230_PORO.dat,data_properties/JD_BASECASE_230_PERMX.dat,229.60,-0.16,0.99,-12.07,-14.05,6.11,8105.80,9433.29,7902.90,-4101.99
18237325.91,0.37,-18.93,-6.79,-13.21,319.61,16345664.53,data_properties/JD_BASECASE_233_PORO.dat,data_properties/JD_BASECASE_233_PERMX.dat,229.61,-0.16,0.99,-11.89,-13.83,5.99,7980.97,9287.63,8866.89,-4024.14
20655270.11,0.30,-17.51,-7.12,-13.82,319.60,16125163.29,data_properties/JD_BASECASE_234_PORO.dat,data_properties/JD_BASECASE_234_PERMX.dat,229.60,-0.16,0.99,-11.48,-13.14,5.13,7708.73,8823.54,9277.44,-3441.82
18935307.97,0.21,-19.04,-6.35,-13.53,319.31,16902099.76,data_properties/JD_BASECASE_239_PORO.dat,data_properties/JD_BASECASE_239_PERMX.dat,229.31,-0.15,0.99,-11.75,-13.65,6.27,7885.24,9162.33,9083.97,-4209.95
23166197.23,0.36,-19.05,-6.73,-13.37,319.07,15783781.17,data_properties/JD_BASECASE_250_PORO.dat,data_properties/JD_BASECASE_250_PERMX.dat,229.07,-0.14,0.99,-12.02,-13.77,6.10,8070.52,9241.55,8974.15,-4093.66
23097625.54,0.36,-19.59,-6.14,-11.60,319.80,18050668.15,data_properties/JD_BASECASE_251_PORO.dat,data_properties/JD_BASECASE_251_PERMX.dat,229.80,-0.17,0.99,-11.74,-13.99,6.63,7882.89,9389.81,7788.50,-4454.05
20272287.10,0.28,-19.12,-5.96,-13.39,319.91,16004555.79,data_properties/JD_BASECASE_252_PORO.dat,data_properties/JD_BASECASE_252_PERMX.dat,229.91,-0.17,0.99,-11.41,-13.66,6.48,7663.09,9169.94,8987.69,-4351.52
16689663.52,0.33,-19.57,-6.69,-11.93,319.19,17844982.21,data_properties/JD_BASECASE_254_PORO.dat,data_properties/JD_BASECASE_254_PERMX.dat,229.19,-0.15,0.99,-12.19,-14.07,6.37,8182.75,9445.02,8012.27,-4279.54
22323051.47,0.28,-19.21,-7.04,-13.06,319.21,17348483.49,data_properties/JD_BASECASE_255_PORO.dat,data_properties/JD_BASECASE_255_PERMX.dat,229.21,-0.15,0.99,-12.24,-14.02,6.02,8215.48,9411.83,8768.92,-4040.47
16106438.43,0.30,-19.50,-7.01,-12.00,319.38,15598589.21,data_properties/JD_BASECASE_256_PORO.dat,data_properties/JD_BASECASE_256_PERMX.dat,229.38,-0.15,0.99,-12.30,-14.20,6.17,8258.68,9534.52,8058.52,-4142.32
22732185.81,0.34,-18.71,-6.32,-13.75,319.40,18370231.26,data_properties/JD_BASECASE_257_PORO.dat,data_properties/JD_BASECASE_257_PERMX.dat,229.40,-0.15,0.99,-11.57,-13.47,6.12,7766.28,9040.17,9230.92,-4111.78
21482843.86,0.29,-19.49,-6.48,-13.75,319.89,16418851.95,data_properties/JD_BASECASE_263_PORO.dat,data_properties/JD_BASECASE_263_PERMX.dat,229.89,-0.17,0.99,-11.88,-14.09,6.41,7976.78,9458.61,9232.40,-4302.70
